DateTime,AddedIPs,RemovedIPs
1472089710,2,0
1472091136,1,0
1472093317,0,1
1472097668,0,1
1472099321,2,0
1472100053,1,0
1472100737,2,0
1472102461,1,1
1472103856,1,0
1472105303,0,1
1472106735,1,1
1472108191,1,0
1472110345,0,1
1472111780,1,0
1472112500,1,0
1472114666,1,1
1472115374,3,0
1472116097,1,1
1472116827,1,0
1472118976,0,2
1472120431,1,0
1472121866,0,1
1472123344,0,1
1472127683,0,1
1472130515,2,0
1472131212,1,0
1472132652,1,0
1472137981,1,0
1472138652,1,0
1472141561,0,2
1472142983,1,0
1472146116,0,1
1472146839,1,1
1472148989,2,0
1472150434,2,1
1472151855,2,0
1472152581,1,1
1472153299,1,0
1472154032,1,0
1472156898,1,0
1472160738,0,1
1472164340,0,1
1472165064,0,1
1472166517,1,0
1472167429,0,1
1472168911,0,1
1472169647,1,0
1472171804,1,1
1472173265,2,0
1472174659,1,0
1472176097,1,1
1472176879,0,1
1472178509,1,0
1472182816,1,0
1472185709,0,1
1472186435,2,1
1472187156,0,1
1472188598,0,1
1472189338,1,1
1472190014,0,1
1472191456,1,0
1472192439,2,0
1472194580,0,1
1472197447,2,0
1472198192,0,1
1472198895,1,0
1472201778,0,2
1472202493,2,0
1472203242,0,1
1472205374,1,0
1472206148,0,1
1472208254,1,0
1472211158,1,0
1472211855,1,1
1472212584,1,0
1472213308,1,0
1472216191,2,0
1472216934,0,1
1472218574,0,1
1472222894,1,0
1472223663,1,0
1472225308,2,1
1472226014,27,0
1472228896,0,1
1472231771,0,1
1472233499,1,0
1472236340,0,2
1472237783,0,2
1472238500,2,1
1472239223,2,1
1472239986,0,1
1472242103,1,0
1472242828,0,1
1472244975,1,0
1472249294,1,0
1472250012,1,0
1472250749,2,0
1472252194,1,0
1472255047,2,0
1472255803,0,1
1472257938,0,1
1472259390,0,2
1472262344,0,1
1472263697,0,1
1472268998,0,1
1472271852,0,1
1472276178,1,0
1472277672,0,1
1472278351,0,1
1472279816,1,1
1472280517,1,0
1472283391,0,1
1472284853,0,1
1472285538,1,0
1472288447,0,2
1472291308,0,1
1472292070,1,0
1472294176,0,1
1472294895,2,0
1472297790,0,1
1472298520,0,1
1472299248,0,1
1472300649,1,0
1472302103,0,1
1472303537,1,0
1472304253,2,0
1472304982,1,0
1472308603,3,0
1472311009,0,1
1472312424,0,132
1472313871,1,0
1472315309,3,0
1472318216,1,0
1472319620,0,1
1472324914,0,1
1472327104,1,0
1472327780,2,0
1472334246,1,0
1472337863,0,1
1472339310,1,0
1472341057,1,0
1472343144,1,0
1472344603,1,0
1472356873,1,0
1472362108,0,1
1472366434,0,1
1472371730,1,0
1472373848,1,0
1472379874,1,0
1472380586,1,1
1472382744,2,0
1472387773,1,0
1472390653,0,1
1472391394,4,0
1472392851,1,0
1472397141,0,1
1472397853,1,0
1472401452,0,1
1472404353,1,0
1472405053,1,0
1472405790,1,0
1472412493,3,0
1472413227,0,1
1472416825,1,0
1472421860,2,0
1472424026,1,0
1472425454,1,1
1472426434,0,1
1472430751,0,9
1472439382,1,0
1472445144,1,0
1472450903,1,0
1472452377,1,0
1472455950,0,1
1472458101,4,0
1472460271,1,1
1472461698,2,0
1472462667,2,0
1472463371,1,0
1472464864,1,0
1472468453,0,1
1472470582,1,0
1472473458,1,0
1472474903,2,0
1472480651,1,0
1472482856,1,0
1472484253,1,0
1472484978,1,0
1472486457,2,0
1472490043,1,0
1472492190,1,0
1472493678,1,0
1472496016,0,27
1472498180,1,0
1472505374,1,0
1472516901,1,0
1472521219,1,0
1472525056,0,1
1472527941,1,0
1472529387,1,0
1472533698,1,0
1472535852,5,0
1472537304,1,0
1472540186,1,0
1472542344,1,0
1472544506,0,1
1472545936,2,0
1472548836,0,2
1472553144,1,0
1472557450,1,0
1472559871,2,0
1472561338,2,0
1472562047,1,0
1472562747,160,0
1472563446,213,0
1472566600,1,0
1472570436,0,1
1472579773,0,1
1472583382,1,0
1472584142,2,0
1472594457,3,0
1472595857,2,0
1472606648,0,1
1472607389,1,0
1472609549,1,0
1472613409,0,1
1472615542,0,1
1472618427,1,0
1472619151,0,1
1472622025,0,1
1472627347,1,0
1472628274,0,1
1472630458,1,0
1472633292,1,0
1472638339,1,0
1472639789,271,0
1472640504,106,0
1472641290,4,0
1472642658,61,0
1472643381,188,1
1472644108,1,0
1472644846,0,1
1472645551,19,0
1472646998,0,13
1472648465,0,76
1472649148,0,2
1472649851,0,3
1472651297,0,3
1472652061,0,7
1472654185,127,4
1472654894,83,1
1472656347,0,2
1472657087,0,1
1472659262,0,1
1472659955,0,1
1472660647,0,1
1472662106,0,1
1472663547,0,2
1472667146,0,2
1472667854,0,1
1472669294,0,1
1472672177,0,3
1472676496,0,2
1472681549,0,3
1472683945,0,2
1472685856,0,1
1472689700,0,127
1472697860,0,1
1472700749,0,1
1472701445,0,1
1472704339,0,2
1472705061,0,1
1472711688,0,2
1472717057,1,0
1472717782,1,0
1472720925,1,0
1472724763,1,50
1472726179,0,74
1472726895,0,195
1472727683,0,41
1472728349,0,65
1472729052,62,0
1472729780,0,1
1472730498,1,3
1472731259,0,22
1472732657,0,1
1472733405,3,0
1472734110,0,3
1472736259,1,12
1472737707,0,1
1472738456,2,0
1472739147,0,1
1472739847,0,252
1472740593,2,76
1472741305,0,29
1472742063,1,4
1472743451,0,1
1472744213,0,7
1472744912,1,1
1472745671,0,5
1472747054,0,4
1472748503,0,3
1472749257,1,0
1472750197,0,1
1472751621,2,5
1472752334,2,1
1472753064,5,0
1472757398,0,1
1472758101,0,2
1472758835,0,9
1472759545,5,3
1472760985,1,0
1472763145,0,1
1472763860,0,1
1472764581,2,1
1472765300,3,1
1472766748,0,1
1472767457,3,0
1472768191,0,3
1472769616,0,1
1472771055,0,5
1472771791,4,1
1472773219,2,0
1472773944,1,0
1472777535,0,1
1472778265,0,1
1472780653,1,0
1472782099,1,1
1472782821,1,0
1472783554,0,3
1472784987,0,1
1472785708,0,1
1472786429,2,0
1472787859,1,1
1472788583,1,0
1472789315,0,1
1472792183,1,2
1472792897,1,0
1472793623,1,0
1472794353,1,0
1472795061,1,0
1472796495,1,0
1472797222,0,3
1472801089,0,1
1472801808,4,0
1472802502,0,2
1472803263,1,1
1472804197,0,2
1472804914,1,0
1472807060,1,2
1472807781,1,0
