DateTime,Entries,UniqueIPs
1467366180,1205,1205
1467387700,1253,1253
1467396098,1250,1250
1467409327,1232,1232
1467422534,1342,1342
1467430949,1404,1404
1467442287,1403,1403
1467450721,1383,1383
1467458520,1365,1365
1467472891,1346,1346
1467486694,1311,1311
1467494508,1297,1297
1467501724,1302,1302
1467511309,1333,1333
1467524521,1321,1321
1467532901,1314,1314
1467546700,1330,1330
1467561083,1303,1303
1467568910,1388,1388
1467576106,1368,1368
1467585736,1509,1509
1467594103,1515,1515
1467601898,1498,1498
1467615701,1378,1378
1467630097,1342,1342
1467637304,1349,1349
1467645102,1301,1301
1467653511,1272,1272
1467661305,1259,1259
1467675722,1353,1353
1467685967,1409,1409
1467693104,1437,1437
1467702117,1360,1360
1467715329,1340,1340
1467723698,1372,1372
1467731528,1366,1366
1467738687,1354,1354
1467750103,1294,1294
1467763933,1282,1282
1467778327,1311,1311
1467785534,1372,1372
1467793331,1380,1380
1467800532,1397,1397
1467808338,1492,1492
1467816128,1450,1450
1467823363,1411,1411
1467832298,1397,1397
1467845545,1307,1307
1467853304,1277,1277
1467862327,1301,1301
1467876109,1313,1313
1467883932,1292,1292
1467892920,1265,1265
1467900118,1290,1290
1467908535,1290,1290
1467917560,1311,1311
1467925922,1292,1292
1467934291,1291,1291
1467948090,1287,1287
1467962514,1274,1274
1467969704,1275,1275
1467977498,1304,1304
1467989515,1324,1324
1467998503,1297,1297
1468006941,1260,1260
1468014723,1214,1214
1468021912,1220,1220
1468031528,1238,1238
1468045921,1283,1283
1468054899,1264,1264
1468062680,1270,1270
1468074712,1225,1225
1468082531,1188,1188
1468092711,1244,1244
1468105918,1289,1289
1468114292,1278,1278
1468122107,1274,1274
1468131109,1257,1257
1468139506,1256,1256
1468153890,1419,1419
1468161712,1472,1472
1468170718,1452,1452
1468179754,1398,1398
1468189290,1377,1377
1468196500,1378,1378
1468204323,1371,1371
1468218095,1396,1396
1468226551,1450,1450
1468236715,1517,1517
1468246935,1507,1507
1468255949,1663,1663
1468263124,1725,1725
1468272131,1776,1776
1468281718,1772,1772
1468290135,1692,1692
1468299722,1653,1653
1468308700,1632,1632
1468317131,1553,1553
1468325517,1534,1534
1468335715,1541,1541
1468345925,1560,1560
1468358523,1514,1514
1468367540,1548,1548
1468378318,1521,1521
1468387338,1548,1548
1468396932,1528,1528
1468407717,1507,1507
1468416135,1464,1464
1468426360,1518,1518
1468433523,1552,1552
1468442518,1496,1496
1468452116,1461,1461
1468460522,1416,1416
1468469525,1392,1392
1468479725,1424,1424
1468490510,1428,1428
1468497707,1432,1432
1468505534,1390,1390
1468512738,1377,1377
1468522910,1417,1417
1468531318,1460,1460
1468539711,1489,1489
1468546941,1495,1495
1468556525,1457,1457
1468566700,1437,1437
1468575725,1312,1312
1468582939,1369,1369
1468591312,1477,1477
1468599116,1494,1494
1468606303,1655,1655
1468614750,1588,1588
1468623710,1725,1725
1468636362,1628,1628
1468645940,1604,1604
1468656702,1509,1509
1468665741,1475,1475
1468679495,1354,1354
1468688501,1380,1380
1468695708,1350,1350
1468704114,1319,1319
1468718523,1313,1313
1468725732,1315,1315
1468740124,1321,1321
1468747307,1294,1294
1468755716,1294,1294
1468764724,1313,1313
1468771904,1274,1274
1468780891,1336,1336
1468794727,1242,1242
1468807924,1224,1224
1468820513,1224,1224
1468828327,1249,1249
1468836112,1256,1256
1468850496,1191,1191
1468864928,1197,1197
1468878118,1153,1153
1468891930,1141,1141
1468903341,1111,1111
1468910489,1101,1101
1468924289,1122,1122
1468930291,1139,1139
1468939929,1126,1126
1468954317,1077,1077
1468968097,1153,1153
1468975907,1190,1190
1468990296,1205,1205
1469004692,1242,1242
1469019107,1194,1194
1469026893,1172,1172
1469040711,1162,1162
1469054493,1160,1160
1469062910,1195,1195
1469076715,1236,1236
1469091128,1253,1253
1469097701,1232,1232
1469106729,1209,1209
1469114507,1229,1229
1469128929,1127,1127
1469142694,1043,1043
1469157113,1059,1059
1469164303,1131,1131
1469178688,1108,1108
1469185918,1101,1101
1469193693,1135,1135
1469208115,1085,1085
1469221922,1081,1081
1469235706,1078,1078
1469246494,1034,1034
1469257302,1041,1041
1469268115,1004,1004
1469279467,1083,1083
1469287262,1049,1049
1469301062,1104,1104
1469314865,1103,1103
1469326259,1132,1132
1469338863,1122,1122
1469346068,1082,1082
1469360470,1062,1062
1469374866,1019,1019
1469389260,1003,1003
1469401260,1021,1021
1469412659,1023,1023
1469423460,1036,1036
1469433660,1056,1056
1469445061,1079,1079
1469457661,1081,1081
1469472058,1051,1051
1469484058,1072,1072
1469494861,1129,1129
1469505663,1144,1144
1469518867,1058,1058
1469530869,1058,1058
1469541670,1088,1088
1469554870,1076,1076
1469565070,1033,1033
1469575865,1086,1086
1469586671,1126,1126
1469598070,1139,1139
1469610676,1129,1129
1469623272,1102,1102
1469635868,1084,1084
1469650262,1099,1099
1469662261,1112,1112
1469673066,1129,1129
1469686266,1063,1063
1469698868,1059,1059
1469709664,1061,1061
1469721057,1035,1035
1469734859,1046,1046
1469746862,1104,1104
1469758262,1128,1128
1469772663,1087,1087
1469785269,1056,1056
1469796660,1026,1026
1469808055,1029,1029
1469821257,1021,1021
1469831458,1062,1062
1469844659,1101,1101
1469857259,1043,1043
1469871066,1005,1005
1469881868,1004,1004
1469892669,1025,1025
1469903467,1102,1102
1469914270,1063,1063
1469925067,1095,1095
1469938261,1065,1065
1469952663,972,972
1469962863,937,937
1469974268,1002,1002
1469988664,984,984
1470000663,945,945
1470011462,938,938
1470021662,932,932
1470033061,935,935
1470043863,942,942
1470055263,943,943
1470067266,925,925
1470077468,974,974
1470088867,1003,1003
1470101468,1002,1002
1470114061,984,984
1470125463,944,944
1470137459,884,884
1470147653,896,896
1470159055,957,957
1470170461,964,964
1470182460,946,946
1470192659,913,913
1470204060,965,965
1470214864,1003,1003
1470226260,1011,1011
1470240656,992,992
1470252659,950,950
1470263456,999,999
1470275460,1095,1095
1470289859,1047,1047
1470303667,933,933
1470313863,973,973
1470326461,932,932
1470337254,946,946
1470348057,906,906
1470358856,946,946
1470369658,911,911
1470379857,903,903
1470391262,885,885
1470402659,910,910
1470412859,875,875
1470423055,906,906
1470436261,892,892
