DateTime,Entries,UniqueIPs
1466719818,5,5
1466726916,6,6
1466734200,5,5
1466737821,6,6
1466777352,5,5
1466780958,6,6
1466802546,5,5
1466809754,6,6
1466852951,5,5
1466860136,6,6
1466885400,5,5
1466888956,6,6
1466899764,7,7
1466972000,6,6
1466975373,7,7
1466979042,6,6
1466982573,7,7
1466986208,8,8
1466989793,7,7
1466993356,8,8
1467007726,7,7
1467050988,8,8
1467065367,5,5
1467072593,7,7
1467079796,9,9
1467094138,8,8
1467104962,9,9
1467126571,8,8
1467130195,7,7
1467140997,8,8
1467148198,9,9
1467169742,8,8
1467173400,7,7
1467176963,8,8
1467220172,7,7
1467223800,8,8
1467339036,7,7
1467396581,6,6
1467400147,7,7
1467411070,6,6
1467418150,7,7
1467428921,6,6
1467508201,5,5
1467515367,4,4
1467519106,5,5
1467522652,4,4
1467529808,5,5
1467558538,4,4
1467565744,5,5
1467591019,7,7
1467594615,6,6
1467601751,7,7
1467605374,8,8
1467616144,6,6
1467623338,7,7
1467641344,8,8
1467655817,7,7
1467666516,6,6
1467670182,7,7
1467677328,8,8
1467760149,9,9
1467774540,8,8
1467810542,9,9
1467824987,8,8
1467835826,9,9
1467850169,8,8
1467857531,9,9
1467871733,8,8
1467878950,7,7
1467882552,8,8
1467922189,7,7
1467929326,6,6
1467932946,7,7
1467936575,8,8
1468033799,6,6
1468095040,5,5
1468102156,6,6
1468120186,5,5
1468141765,4,4
1468145366,5,5
1468246229,4,4
1468253557,5,5
1468267783,4,4
1468275030,5,5
1468350550,6,6
1468368664,7,7
1468372239,6,6
1468426174,5,5
1468429756,4,4
1468433475,5,5
1468436959,6,6
1468451323,5,5
1468455022,6,6
1468483740,4,4
1468487352,3,3
1468490949,5,5
1468505359,5,5
1468509004,6,6
1468530544,5,5
1468534263,5,5
1468541495,6,6
1468545007,8,8
1468559517,6,6
1468563025,6,6
1468566901,7,7
1468574108,8,8
1468592155,7,7
1468595719,6,6
1468599308,8,8
1468606147,9,9
1468616952,8,8
1468620627,9,9
1468631365,10,10
1468642197,9,9
1468645869,10,10
1468649358,9,9
1468663731,10,10
1468667353,9,9
1468678160,10,10
1468696137,9,9
1468714184,11,11
1468721381,9,9
1468724948,8,8
1468732157,9,9
1468739416,11,11
1468753746,10,10
1468757397,9,9
1468760956,8,8
1468764606,9,9
1468775311,10,10
1468782526,8,8
1468789727,9,9
1468793412,10,10
1468800617,9,9
1468804151,9,9
1468814974,10,10
1468872555,9,9
1468879777,8,8
1468883395,9,9
1468886971,10,10
1468890588,9,9
1468894164,10,10
1468901380,9,9
1468904956,10,10
1468933734,9,9
1468937352,10,10
1468940991,11,11
1468948164,10,10
1468984158,7,7
1469016541,6,6
1469023738,7,7
1469045363,6,6
1469048952,7,7
1469059847,8,8
1469067205,7,7
1469120965,6,6
1469128148,7,7
1469157063,6,6
1469207389,5,5
1469225420,6,6
1469232595,7,7
1469247004,6,6
1469254154,7,7
1469264938,8,8
1469268561,7,7
1469272141,8,8
1469290205,7,7
1469297317,8,8
1469300941,7,7
1469308146,8,8
1469311837,7,7
1469315361,8,8
1469351340,7,7
1469358510,8,8
1469394581,7,7
1469408951,6,6
1469412658,7,7
1469419762,8,8
1469426989,7,7
1469434162,8,8
1469441378,7,7
1469448547,6,6
1469452152,8,8
1469473739,9,9
1469502547,7,7
1469513370,8,8
1469520616,7,7
1469531348,8,8
1469542133,9,9
1469563808,8,8
1469581796,6,6
1469585436,7,7
1469588942,8,8
1469596191,9,9
1469610555,8,8
1469628588,9,9
1469643001,8,8
1469646535,7,7
1469650152,8,8
1469653746,9,9
1469664564,8,8
1469668163,9,9
1469675396,7,7
1469704195,6,6
1469714922,5,5
1469725704,6,6
1469732940,7,7
1469815795,6,6
1469822944,7,7
1469898586,5,5
1469905746,6,6
1469916629,7,7
1469920198,6,6
1469923774,7,7
1469930952,8,8
1469952621,7,7
1469963369,6,6
1469966979,8,8
1470031751,7,7
1470038953,8,8
1470067715,8,8
1470085749,7,7
1470089376,8,8
1470103997,7,7
1470118155,6,6
1470121754,7,7
1470128950,8,8
1470143368,7,7
1470146969,8,8
1470165061,9,9
1470179323,8,8
1470182980,9,9
1470190257,8,8
1470197449,8,8
1470204531,7,7
1470208136,9,9
1470218930,8,8
1470222548,7,7
1470229742,8,8
1470236996,9,9
1470247713,8,8
1470251369,7,7
1470269409,8,8
1470280124,9,9
1470291010,8,8
1470298166,7,7
1470301710,6,6
1470312591,8,8
1470334326,6,6
1470337765,7,7
1470341375,8,8
1470352186,7,7
1470370195,5,5
1470373792,6,6
1470377320,7,7
1470380919,8,8
1470395417,6,6
1470398936,5,5
1470402539,6,6
1470416956,4,4
1470420569,5,5
1470424222,6,6
1470427805,7,7
1470438607,6,6
1470442202,6,6
1470445795,9,9
1470470940,10,10
1470474537,9,9
1470481745,8,8
1470492562,9,9
1470496145,8,8
1470499722,7,7
1470503312,8,8
1470510640,8,8
1470521320,9,9
1470546563,8,8
1470550135,9,9
1470553746,8,8
1470560945,7,7
1470564543,8,8
1470568148,8,8
1470589730,9,9
1470604139,8,8
1470615052,7,7
1470618550,8,8
1470622307,10,10
1470647334,9,9
1470650919,10,10
1470661826,9,9
1470676134,9,9
1470679768,10,10
1470690521,9,9
1470694266,8,8
1470701396,9,9
1470704999,10,10
1470712141,10,10
1470733724,9,9
1470740967,10,10
1470748179,9,9
1470766193,10,10
1470802159,9,9
1470809342,7,7
1470812943,8,8
1470820131,9,9
1470823732,10,10
1470838146,9,9
1470841754,10,10
1470856161,9,9
1470859717,10,10
1470881453,9,9
1470892154,8,8
1470895762,8,8
1470899348,9,9
1470920964,8,8
1470924541,9,9
1470938908,8,8
1470953321,10,10
1470967898,8,8
1470971343,9,9
1470982180,8,8
1470985726,7,7
1470992946,8,8
1471000190,10,10
1471018155,9,9
1471028982,8,8
1471032556,8,8
1471039803,10,10
1471083009,9,9
1471086541,8,8
1471090148,9,9
1471093760,10,10
1471129753,8,8
1471136950,10,10
1471144131,9,9
1471151325,8,8
1471162209,7,7
1471176602,8,8
1471194554,7,7
1471198126,7,7
1471208921,9,9
1471216134,8,8
1471219871,9,9
1471230526,10,10
1471237835,9,9
1471244943,8,8
1471252170,7,7
1471255722,9,9
1471263017,10,10
1471270145,9,9
1471277376,10,10
1471291753,9,9
1471295339,10,10
1471298998,9,9
1471313632,9,9
1471320545,10,10
1471338544,9,9
1471345799,8,8
1471352947,9,9
1471363729,10,10
1471385343,9,9
1471392579,8,8
1471396168,10,10
1471410639,9,9
1471414164,9,9
1471428602,8,8
1471432123,9,9
1471435812,8,8
1471439364,9,9
1471442940,10,10
1471457329,9,9
1471460938,10,10
1471475314,8,8
1471478979,10,10
1471486301,11,11
1471529380,10,10
1471532938,9,9
1471550958,10,10
1471558165,11,11
1471576148,10,10
1471594173,8,8
1471597777,9,9
1471608539,9,9
1471612179,10,10
1471640941,9,9
1471644585,10,10
1471662554,9,9
1471669793,8,8
1471673316,10,10
1471684191,9,9
1471687722,8,8
1471705755,9,9
1471712954,10,10
1471734552,9,9
1471738174,10,10
1471741799,11,11
1471748939,10,10
1471756144,11,11
1471770547,10,10
1471774132,11,11
1471846119,10,10
